label,message,
ham,"Hi, how are you doing today?",
spam,Congratulations! You have won a free lottery ticket. Call now!,
ham,Let's meet for lunch tomorrow,
spam,Win cash now!!! Limited offer,
ham,Can you send me the notes?,
spam,Get cheap loans instantly. Apply now,
ham,Happy birthday! Have a great day,
spam,You are selected for a $1000 gift card,
ham,Are we still on for the meeting?,
spam,Claim your free vacation now,
ham,Please review the document,
spam,Earn money from home easily,
ham,Call me when you reach,
spam,Exclusive deal just for you,
ham,Dinner at 8 pm?,
spam,Your account has won a prize,
ham,Project deadline is tomorrow,
spam,Act fast! Offer expires soon,
ham,Thanks for your help,
spam,You won a free iPhone,
ham,See you in class,
spam,Lowest price pharmacy meds,
ham,Meeting rescheduled to 3 pm,
spam,Make money quickly,
ham,I'll call you later,
spam,Free entry in contest,
ham,Send me the assignment,
spam,"Congratulations, you are a winner",
ham,Let's start the session,
spam,Get rich in 7 days,
ham,Where are you now?,
spam,Free coupons available,
ham,Submit the report,
spam,Urgent! Update your bank details,
ham,Lunch break now,
spam,Investment opportunity guaranteed returns,
ham,Can we discuss the project?,
spam,Hot deals waiting for you,
ham,Class starts at 10,
spam,You have been selected for cash reward,
ham,Good morning,
spam,Double your income fast,
ham,Exam starts Monday,
spam,Winner! Claim your reward,
ham,Please join the meeting link,
spam,Lowest insurance premium,
ham,Assignment received,
spam,Click to get free recharge,
ham,Thank you,
spam,Limited time bonus offer,
